,Node,VRF,Interface,IP,Mask,Active
0,regionb-ce01,default,ge-0/0/1.0,172.17.3.2,30,True
1,regionb-ce02,default,ge-0/0/0.0,172.17.2.2,30,True
2,regiona-pe02,default,GigabitEthernet0/0/0/0,10.1.1.1,30,True
3,regiona-svr01,default,Ethernet1,172.30.10.100,24,True
4,regionb-svr02,default,Ethernet1,172.31.20.100,24,True
5,regiona-ce02,default,ae0.0,172.16.5.2,30,True
6,regionb-pe02,default,fxp0.0,10.0.0.15,24,False
7,regiona-svr02,default,Ethernet1,172.30.10.101,24,True
8,regiona-svr02,default,Ethernet2,172.30.110.101,24,True
9,regionb-pe01,default,fxp0.0,10.0.0.15,24,False
10,regionb-pe01,default,ge-0/0/3.0,172.17.2.1,30,True
11,regiona-ce01,VR1,ae2.120,172.30.120.1,24,True
12,regionb-ce01,default,ae0.0,172.17.5.1,30,True
13,regionb-pe02,default,ge-0/0/3.0,172.17.4.1,30,True
14,regionb-ce02,default,ae0.0,172.17.5.2,30,True
15,regionb-pe02,default,ge-0/0/1.0,172.17.0.2,30,True
16,regionb-ce02,default,ae2.1020,172.31.20.2,24,True
17,regionb-ce01,default,fxp0.0,10.0.0.15,24,False
18,regiona-pe02,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
19,regionb-ce02,default,fxp0.0,10.0.0.15,24,False
20,regionb-svr01,default,Management1,10.0.0.15,24,False
21,regiona-acc01,default,Management1,10.0.0.15,24,False
22,regiona-pe01,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
23,regionb-svr02,default,Management1,10.0.0.15,24,False
24,regiona-ce01,default,ge-0/0/1.0,172.16.3.2,30,True
25,regionb-pe01,default,ge-0/0/0.0,10.1.0.2,30,True
26,regiona-ce02,default,fxp0.0,10.0.0.15,24,False
27,regionb-ce01,default,ae2.1020,172.31.20.1,24,True
28,regiona-pe01,default,GigabitEthernet0/0/0/2,172.16.1.1,30,True
29,regiona-pe02,default,GigabitEthernet0/0/0/2,172.16.3.1,30,True
30,regiona-ce02,default,ae1.10,172.30.10.2,24,True
31,regiona-ce01,VR1,ae1.110,172.30.110.1,24,True
32,regionb-ce01,default,ae1.1010,172.31.10.1,24,True
33,regiona-svr01,default,Management1,10.0.0.15,24,False
34,regionb-ce02,default,ae1.1010,172.31.10.2,24,True
35,regiona-svr02,default,Management1,10.0.0.15,24,False
36,regionb-ce01,VR1,ae1.1110,172.31.110.1,24,True
37,regionb-ce02,default,ge-0/0/1.0,172.17.4.2,30,True
38,regionb-acc02,default,Management1,10.0.0.15,24,False
39,regiona-pe02,default,GigabitEthernet0/0/0/3,172.16.4.1,30,True
40,regiona-ce01,default,ae0.0,172.16.5.1,30,True
41,regionb-acc01,default,Management1,10.0.0.15,24,False
42,regiona-ce02,VR1,ae2.120,172.30.20.2,24,True
43,regionb-ce01,default,ge-0/0/0.0,172.17.1.2,30,True
44,regiona-ce02,VR1,ae2.120,172.30.120.2,24,True
45,regiona-pe01,default,GigabitEthernet0/0/0/0,10.1.0.1,30,True
46,regionb-ce02,VR1,ae1.1110,172.31.110.2,24,True
47,regiona-ce02,default,ge-0/0/1.0,172.17.4.2,30,True
48,regionb-svr01,default,Ethernet1,172.31.10.100,24,True
49,regionb-pe01,default,ge-0/0/2.0,172.17.1.1,30,True
50,regiona-ce02,VR1,ae1.110,172.30.110.2,24,True
51,regionb-pe01,default,ge-0/0/1.0,172.17.0.1,30,True
52,regionb-svr02,default,Ethernet2,172.31.120.100,24,True
53,regiona-ce01,default,ae2.20,172.30.20.1,24,True
54,regionb-pe02,default,ge-0/0/2.0,172.17.3.1,30,True
55,regiona-svr01,default,Ethernet2,172.30.110.100,24,True
56,regiona-ce01,default,fxp0.0,10.0.0.15,24,False
57,regiona-pe02,default,Loopback0,1.1.1.2,32,True
58,regionb-pe02,default,ge-0/0/0.0,10.1.1.2,30,True
59,regiona-pe01,default,Loopback0,1.1.1.1,32,True
60,regionb-ce02,VR1,ae2.1120,172.31.120.2,24,True
61,regiona-ce01,default,ae1.10,172.30.10.1,24,True
62,regionb-ce01,VR1,ae2.1120,172.31.120.1,24,True
63,regiona-pe02,default,GigabitEthernet0/0/0/1,172.16.0.2,30,True
64,regiona-pe01,default,GigabitEthernet0/0/0/1,172.16.0.1,30,True
65,regiona-pe01,default,GigabitEthernet0/0/0/3,172.16.2.1,30,True
66,regiona-ce02,default,ge-0/0/0.0,172.16.2.2,30,True
67,regiona-ce01,default,ge-0/0/0.0,172.16.1.2,30,True
68,regionb-svr01,default,Ethernet2,172.31.110.100,24,True
